name,price,type,interface,capacity,price_per_gb,color
Seagate Backup Plus Hub,0.0,Desktop,USB Type-A 3.2 Gen 1,10000,0.0,Black
Western Digital My Book Duo,618.49,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",6000,0.103,Black
Western Digital My Book Duo,0.0,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",12000,0.0,Black
Western Digital easystore,0.0,Desktop,USB Type-A 3.2 Gen 1,14000,0.0,Unknown
Seagate One Touch,161.38,Desktop,USB Type-A 3.2 Gen 1,6000,0.027,Black
Apricorn Padlock DT FIPS,885.51,Desktop,USB Type-A 3.2 Gen 1,16000,0.055,Black
Apricorn Aegis Padlock DT,475.59,Desktop,USB Type-A 3.2 Gen 1,8000,0.059,Black
Apricorn Aegis Padlock DT,752.53,Desktop,USB Type-A 3.2 Gen 1,12000,0.063,Black
Apricorn Aegis Padlock DT,1079.0,Desktop,USB Type-A 3.2 Gen 1,18000,0.06,Black
Apricorn Aegis Padlock DT,1279.0,Desktop,USB Type-A 3.2 Gen 1,22000,0.058,Black
LaCie Porsche Design,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Western Digital ELEMENTS,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Western Digital My Passport,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Verbatim Freecom,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Seagate Backup Plus Slim,188.83,Portable,USB Type-A 3.2 Gen 1,2000,0.094,Unknown
Seagate Backup Plus Slim,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Hitachi HGST Touro Mobile,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Toshiba Canvio Connect,75.0,Portable,USB Type-A 3.2 Gen 1,500,0.15,Unknown
ADATA AHV620-2TU3-CBK,159.66,Portable,USB Type-A 3.2 Gen 1,2000,0.08,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,500,0.0,Unknown
Toshiba Canvio Connect,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Unknown
Toshiba Canvio Slim II,105.0,Portable,USB Type-A 3.2 Gen 1,1000,0.105,Unknown
Toshiba Canvio Slim II,106.0,Portable,Unknown,1000,0.106,Unknown
Lenovo ThinkPad,0.0,Portable,USB Type-A 3.2 Gen 1,750,0.0,Unknown
Samsung T1,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
ADATA SE730,0.0,Portable,USB Type-C 3.2 Gen 1,250,0.0,Unknown
