name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Sony BWU-500S,0.0,8.0,16.0,48.0,12/8/2/2,8/8/6/8/6/6/5,24/16
Memorex 98240,79.88,0.0,16.0,48.0,Unknown,24/6/8/24/6/8/-,48/32
LG BH14NS40,0.0,12.0,16.0,48.0,14/12/2/2,16/8/8/16/6/8/5,48/24
LG BH10LS30,0.0,6.0,16.0,48.0,10/8/8/6,16/8/8/16/8/8/12,48/24
Pioneer DVR-216D,0.0,0.0,16.0,40.0,Unknown,20/8/12/20/32/12/-,40/32
Lite-On IHAS324-98,55.48,0.0,16.0,48.0,Unknown,24/8/-/24/6/-/-,48/32
Lite-On IHBS112-04,0.0,8.0,16.0,48.0,12/8/2/2,16/8/8/16/6/8/12,48/48
Lite-On iHAS424-98,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
LG GH24NS95,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/5,48/24
HP DVD1265I,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/-,48/32
HP 447328-B21,0.0,0.0,16.0,50.0,Unknown,16/8/-/16/8/-/-,40/32
Samsung SH-B123L/RSBP,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/16/8/12,48/24
Sony 5280S-CB-PLUS,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/-,48/32
LG UH12NS29,0.0,10.0,16.0,48.0,Unknown,16/8/8/16/6/8/12,48/24
OcUK CD-004-OK,0.0,8.0,0.0,0.0,Unknown,16/16/8/16/16/8/-,48/24
LG GGC-H20L,0.0,6.0,16.0,40.0,Unknown,Unknown,Unknown
Asus BC-12B1ST,0.0,0.0,0.0,0.0,Unknown,16/8/8/16/6/8/12,48/24
Asus DRW-24F1MT,0.0,0.0,0.0,0.0,Unknown,24/8/8/24/6/8/5,48/24
Silverstone SOB03,0.0,6.0,8.0,24.0,6/6/2/2,8/8/4/8/6/4/5,24/10
Samsung SH-222AB,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/24
LG GH22NS50 Bulk,0.0,0.0,16.0,48.0,Unknown,22/8/-/22/8/-/12,48/32
Samsung SH-222AL/BSBS,0.0,0.0,22.0,48.0,Unknown,22/8/16/22/6/12/12,48/24
Samsung SH-118CB/BEBE,0.0,0.0,18.0,48.0,Unknown,Unknown,Unknown
LG UH12NS40,0.0,12.0,16.0,48.0,Unknown,16/8/8/16/6/8/5,48/24
HP QS208AA,66.0,0.0,16.0,48.0,Unknown,16/8/8/-/6/8/-,48/32
Lite-On iHAS124-04,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/-/12,48/32
LG GH22LP21,0.0,0.0,16.0,48.0,Unknown,22/8/16/22/6/12/12,48/32
