name,price,capacity,price_per_gb,type,cache,form_factor,interface
Lexar NM790 w/Heatsink,0.0,4000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
SK Hynix Gold P31,149.99,2000.0,0.075,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Timetec 35TTFP6PCIE,59.99,1000.0,0.06,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel 670p,51.9,512.0,0.101,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea Z540,246.99,2000.0,0.123,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Pro,392.99,1000.0,0.393,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Asus ROG Strix SQ7,0.0,1000.0,0.0,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO w/Heatsink,279.99,2000.0,0.14,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Seagate BarraCuda Pro Compute,59.99,1000.0,0.06,7200,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,96.99,2000.0,0.048,SSD,0.0,2.5,SATA 6.0 Gb/s
Samsung 970 Evo,248.99,2000.0,0.124,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,50.99,1000.0,0.051,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 960 Pro,689.95,2000.0,0.345,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NX-2280,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane P1600X,70.98,118.0,0.602,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Pro,418.99,22000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 850 Evo,129.23,1000.0,0.129,SSD,0.0,2.5,SATA 6.0 Gb/s
Intel 320,0.0,600.0,0.0,SSD,0.0,2.5,SATA 3.0 Gb/s
Samsung 850 Pro,210.28,1000.0,0.21,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial P2,121.99,2000.0,0.061,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
KingSpec XG7000,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P5 Plus W/Heatsink,93.99,1000.0,0.094,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
VisionTek 901414,1566.2,8000.0,0.196,SSD,0.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,84.99,4000.0,0.021,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,479.99,22000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
