name,price,rpm,noise_level,color,size
Corsair iCUE H100i ELITE LCD XT,219.99,5502100.0,"5,34.1",Black,240.0
Lian Li Galahad II Trinity,116.73,2450.0,35.4,Black,240.0
Asus ROG STRIX LC II ARGB,144.99,8002500.0,37.6,White / Black,360.0
Corsair iCUE H150i RGB ELITE,164.99,4001850.0,"5,28.9",White,360.0
Noctua NH-U12S,74.95,3001500.0,"18.6,22.4",Unknown,0.0
Corsair H100i v2,310.82,2435.0,37.7,Unknown,240.0
Thermalright Assassin Spirit V2,0.0,1500.0,25.6,Gray,0.0
Deepcool AK400 DIGITAL WH,46.98,5001850.0,28,White,0.0
Vetroo V240,59.99,1800.0,30.8,Black,240.0
Deepcool AK500 DIGITAL,58.98,5001850.0,28,Black,0.0
Noctua NH-D12L CHROMAX.BLACK,99.9,4502000.0,"18.8,22.6",Black,0.0
be quiet! Pure Loop 2 FX,89.9,0.0,"8,32.3",Black,240.0
Phanteks GLACIER ONE 360D30,179.99,2502000.0,30.2,Black,360.0
Thermalright Assassin Spirit 120 EVO WHITE ARGB,20.9,1850.0,27,White,0.0
NZXT Kraken X63,0.0,5002000.0,"21,38",Black,280.0
Corsair H150i PRO,371.6,1600.0,25,Unknown,360.0
Asus ROG Ryujin III,299.99,4502000.0,29.7,Black,360.0
Corsair iCUE H115i ELITE CAPELLIX XT,169.99,5001700.0,"5,33.8",Black,280.0
Lian Li Galahad II Trinity Performance,159.99,23003000.0,"32.1,39.9",White,360.0
Lian Li GALAHAD AIO 360 RGB,259.95,8001900.0,Unknown,White / Silver,360.0
Thermalright AXP90-X53 FULL,47.9,2700.0,22.4,Copper / Orange,0.0
Corsair iCUE LINK H150i RGB,214.99,4802400.0,Unknown,White,360.0
ARCTIC Liquid Freezer II 240 A-RGB,99.99,2001800.0,22.5,Black / Gray,240.0
ARCTIC Liquid Freezer II 420 A-RGB,99.99,2001900.0,22.5,Black,420.0
Deepcool LE720,0.0,5002250.0,32.9,White,360.0
ARCTIC Alpine 23 CO,13.88,1002000.0,Unknown,Black,0.0
Corsair A115,99.99,4001600.0,"5,33.9",Black,0.0
Cooler Master Hyper 212 EVO V2,91.99,6501800.0,"8,27",Black / Silver,0.0
Cooler Master Hyper 212 RGB Black Edition,99.99,6502000.0,"8,30",Black,0.0
ARCTIC Liquid Freezer II 280 A-RGB,102.99,2001900.0,22.5,Black,280.0
Asus ROG RYUO III 360 ARGB,189.99,2200.0,36.45,Black,360.0
Thermalright Frozen Prism ARGB,50.9,1850.0,27,Black,240.0
Fractal Design Lumen S24 RGB V2,113.98,5002000.0,"10,33.2",Black,240.0
Thermaltake TH360 V2 ARGB Sync,117.99,5002000.0,25.8,Black,360.0
Cooler Master MasterLiquid 240 Atmos,119.99,6902500.0,27.2,Black,240.0
Deepcool LS520S ZERO DARK,79.98,5002250.0,"28.2,32.9",Black,240.0
NZXT Kraken 280 RGB,177.99,5001500.0,34.48,White,280.0
Noctua NH-D15S,99.95,3001500.0,"19.2,24.6",Unknown,0.0
MSI MEG CORELIQUID S360,169.0,0.0,22.7,Black,360.0
ARCTIC Alpine AM4,10.25,1002000.0,Unknown,Black / White,0.0
Corsair iCUE H100i ELITE CAPELLIX,200.0,2400.0,"10,37",Black,240.0
Noctua NH-U14S,79.95,3001500.0,"19.2,24.6",Unknown,0.0
ARCTIC Liquid Freezer III A-RGB,131.99,2001900.0,Unknown,White,280.0
Corsair iCUE H100i RGB ELITE,149.99,4001850.0,"5,28.9",White,240.0
ARCTIC Alpine 17 CO,12.99,2502700.0,Unknown,Black,0.0
Thermalright Frozen Prism ARGB,55.9,1850.0,27,White,360.0
Deepcool AG200,0.0,5003050.0,30.5,Black / Silver,0.0
MSI MPG CORELIQUID D360,201.99,0.0,Unknown,Black,360.0
Thermalright Frost Commander 140 BLACK,39.9,1800.0,30.2,Black,0.0
Thermalright Assassin X Refined SE PLUS,22.29,1550.0,25.6,Black / Silver,0.0
be quiet! Silent Loop 2 360,215.0,2200.0,"17.7,39.8",Black,360.0
GAMDIAS BOREAS E1,0.0,8002000.0,"10,31",Black / Silver,0.0
Deepcool AG500 BK ARGB,36.98,3001850.0,29.4,Black,0.0
ARCTIC Freezer 36 A-RGB,43.99,2002000.0,Unknown,White,0.0
Thermaltake UX200 SE ARGB,24.99,8001800.0,25,Black,0.0
Deepcool LS720 WH,134.99,5002250.0,32.9,White,360.0
Cooler Master MasterLiquid 120L Core,59.99,6501750.0,27.2,Black,120.0
Deepcool AK500,58.99,5001850.0,"25.9,31.5",White,0.0
Gigabyte AORUS WATERFORCE X,199.99,8002500.0,"7.9,37.6",Black,360.0
ARCTIC Alpine 17,11.99,1002000.0,Unknown,Black / White,0.0
ID-COOLING FROZN A400 BLACK,24.99,5002200.0,25.8,Black,0.0
Thermalright AXP120-X67,33.9,1800.0,26.1,Black,0.0
be quiet! Dark Rock Slim,59.9,1500.0,"11,23.6",Black,0.0
NZXT Kraken Z73 RGB,0.0,5001500.0,"22,33",Black,360.0
Cooler Master MasterLiquid 240L Core,94.71,6501750.0,27.2,Black,240.0
Corsair iCUE H115i RGB ELITE,159.99,4001600.0,"19,35.8",Black,280.0
Phanteks GLACIER ONE 360D30,169.99,2502000.0,30.2,White,360.0
MSI MAG CORELIQUID C240,99.99,5002000.0,"14.3,34.3",Black,240.0
Lian Li Galahad II Trinity,136.53,2450.0,35.4,White,240.0
Noctua NH-P1,109.9,0.0,0,Silver,0.0
Asus ROG RYUO III 360 ARGB WHITE EDITION,186.78,2200.0,36.45,White,360.0
Deepcool GAMMAXX AG620 ARGB,47.99,3001850.0,29.4,Black,0.0
Lian Li Galahad II LCD,229.9,3002450.0,30,Black,360.0
MSI MAG CORELIQUID E360,135.0,0.0,Unknown,Black,360.0
Deepcool LS520,81.98,5002250.0,32.9,Black,240.0
ID-COOLING DASHFLOW 240 BASIC,64.98,7001800.0,"15.2,35.2",Black,240.0
Cooler Master MasterLiquid ML360 Illusion,145.61,6501800.0,"6,30",Black / Silver,360.0
NZXT Kraken X73 RGB,389.95,5001500.0,"22,33",Black,360.0
ARCTIC Freezer 34 eSports DUO,47.07,2002100.0,24.4,Black / Gray,0.0
be quiet! Pure Rock LP,0.0,2500.0,Unknown,Black,0.0
Thermalright Assassin King 120 Mini WHITE ARGB V3,18.98,1500.0,25.6,White / Silver,0.0
Thermalright AXP90-X36,22.9,2700.0,22.4,Gray,0.0
Vetroo V5,27.99,8001700.0,30.8,White,0.0
Thermalright Burst Assassin ARGB,22.9,1550.0,25.6,Black / Silver,0.0
Cooler Master MasterAir MA824 Stealth,99.99,0.0,"0,24.6",Black,0.0
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,0.0,8001900.0,32,Black / Silver,360.0
Thermalright Peerless Assassin 120 White ARGB,39.29,1550.0,25.6,White,0.0
MSI MAG CORELIQUID E360 WHITE,139.0,0.0,Unknown,White,360.0
MSI MAG CORELIQUID C360,143.0,5002000.0,"14.3,34.3",Black,360.0
Corsair iCUE H150i ELITE CAPELLIX,349.78,2400.0,"10,37",White,360.0
Scythe Mugen 5 Rev. B,0.0,3001200.0,"4,24.9",Silver / Black,0.0
NZXT Kraken Z53,229.99,5002000.0,"21,36",Black,240.0
EK AIO Basic 360,113.82,5502200.0,33.5,Black,360.0
Cooler Master Hyper H412R,40.99,6002000.0,29.4,Black,0.0
ID-COOLING SE-224-XTS BLACK,29.99,6001500.0,28.9,Black,0.0
Gigabyte AORUS WATERFORCE X II 360 ICE,289.99,8002400.0,"12,37.5",White,360.0
ARCTIC Liquid Freezer III A-RGB,136.25,2001900.0,Unknown,White,420.0
Zalman CNPS10X Performa,19.99,7001500.0,27,Black,0.0
Vetroo V360,84.59,8001800.0,Unknown,White,360.0
ARCTIC Alpine 23,11.99,1002000.0,Unknown,White / Black,0.0
IceGiant ProSiphon Elite,169.99,3002300.0,Unknown,Black,0.0
MSI MAG CORELIQUID M360,89.0,5002000.0,"14.3,34.3",Black,360.0
NZXT Kraken 280 RGB,159.99,5001500.0,34.48,Black,280.0
Thermalright Assassin X Refined SE ARGB V2,19.89,1550.0,25.6,Black / Silver,0.0
NZXT T120,55.49,5001800.0,"17.9,30.6",Black,0.0
Thermalright Frozen Prism,46.9,1850.0,27,Black,240.0
be quiet! Pure Loop 240,99.9,0.0,"19,39.5",Black,240.0
Thermaltake UX200 SE ARGB,34.98,8001800.0,25,White,0.0
ARCTIC Freezer 34 eSports DUO,57.55,2002100.0,24.4,White / Gray,0.0
ID-COOLING DASHFLOW BASIC,79.98,7001800.0,"15.2,35.2",Black,360.0
Vetroo V240,59.99,1800.0,30.8,White / Gray,240.0
Thermalright Aqua Elite V3,39.9,1500.0,25.6,Black,120.0
NZXT Kraken X73,0.0,5002000.0,"21,36",Black,360.0
Corsair H100i RGB PLATINUM,0.0,2400.0,37,Black / Silver,240.0
Corsair iCUE LINK H100i RGB,149.99,4802400.0,Unknown,Black,240.0
ARCTIC Freezer 34 eSports DUO,45.99,2002100.0,24.4,Red / Black,0.0
Cooler Master MasterLiquid 360 Atmos,134.99,6902500.0,27.2,Black,360.0
be quiet! Shadow Rock 3,47.9,1600.0,"11.5,24.4",Black,0.0
Lian Li Galahad II Trinity SL-INF,124.99,2100.0,29,Black,240.0
ENDORFY Fera 5,49.36,2501800.0,Unknown,Black / Silver,0.0
Asus ROG STRIX LC II ARGB,114.99,8002500.0,37.6,Black,240.0
Noctua NH-D9L chromax.black,74.9,4002000.0,"16.3,22.8",Black,0.0
Deepcool AK500S DIGITAL,51.98,5001850.0,28,Black,0.0
