name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX TRX40-XE GAMING,0.0,sTRX4,ATX,256,8,Black
Gigabyte X670E AORUS MASTER (rev. 1.0),391.71,AM5,EATX,192,4,Black / Silver
ASRock B650E Taichi Lite,259.99,AM5,EATX,192,4,Black / Gray
ASRock Z790 Riptide WiFi,199.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING B760-PLUS WIFI,179.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 GAMING X AX,199.99,LGA1700,ATX,192,4,Black
Gigabyte B650M GAMING X AX,214.86,AM5,Micro ATX,192,4,Black
ASRock B760M-HDV/M.2 D4,89.99,LGA1700,Micro ATX,64,2,Silver / Black
MSI MAG Z690 TOMAHAWK WIFI DDR4,0.0,LGA1700,ATX,128,4,Black / Silver
Asus PRIME Z390-P,199.94,LGA1151,ATX,128,4,Silver / Black
MSI MPG Z790 CARBON WIFI II,399.99,LGA1700,ATX,192,4,Black
Gigabyte A620M S2H,89.99,AM5,Micro ATX,96,2,Gray / Black
ASRock B660M-HDV,94.99,LGA1700,Micro ATX,64,2,Gray / Black
MSI MPG B760I EDGE WIFI,206.61,LGA1700,Mini ITX,96,2,Black / Silver
MSI PRO B650M-B,0.0,AM5,Micro ATX,96,2,Black
Asus ROG STRIX Z690-A GAMING WIFI D4,397.86,LGA1700,ATX,128,4,Silver / Black
Asus PRIME B760M-A,145.54,LGA1700,Micro ATX,128,4,Silver / Black
MSI MEG X670E ACE,679.99,AM5,EATX,192,4,Black / Gold
ASRock X670E Taichi Carrara,429.99,AM5,EATX,192,4,Black / White
MSI MEG Z790 ACE MAX,699.99,LGA1700,EATX,192,4,Black
MSI PRO Z690-A WIFI DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
MSI Z390-A PRO,246.18,LGA1151,ATX,128,4,Brown / Black
Gigabyte B650M DS3H,193.53,AM5,Micro ATX,192,4,Brown / Black
Gigabyte B650M K,119.99,AM5,Micro ATX,192,4,Brown / Silver
ASRock H310CM-DVS,62.8,LGA1151,Micro ATX,32,2,Black
Asus PRIME B450M-K II,91.17,AM4,Micro ATX,64,2,Black
Asus TUF GAMING Z790-PLUS WIFI D4,199.99,LGA1700,ATX,128,4,Black
Gigabyte B550 AORUS ELITE V2,173.32,AM4,ATX,128,4,Black
Asus ROG Crosshair VIII Dark Hero,579.99,AM4,ATX,128,4,Black / Silver
Asus PRIME Z390-A,284.0,LGA1151,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,169.99,LGA1700,ATX,192,4,Silver / Black
