name,price,configuration,wattage,frequency_response,color
M-Audio Studiophile AV40,0.0,2.0,40.0,8520.0,Unknown
Genius SP-HF1800A,0.0,2.0,50.0,2020.0,Unknown
Harman Kardon GLA-55,0.0,2.0,112.0,3520.0,Unknown
Audioengine A5,0.0,2.0,100.0,5022.0,Unknown
KRK VXT4,0.0,2.0,90.0,6622.0,Unknown
Lenovo M1730,0.0,2.1,12.0,2020.0,Unknown
Creative Labs Inspire T3300,0.0,2.1,27.0,4020.0,Unknown
Creative Labs T30,0.0,2.0,14.0,5020.0,Unknown
Creative Labs T50,0.0,2.0,40.0,5020.0,Unknown
Audioengine A5+N,0.0,2.0,50.0,5022.0,Unknown
Mackie MR5mk3,0.0,2.0,100.0,5720.0,Unknown
Mackie MR6mk3,0.0,2.0,130.0,4620.0,Unknown
Mackie MR8mk3,0.0,2.0,170.0,3820.0,Unknown
M-Audio AV42,0.0,2.0,40.0,7520.0,Unknown
JBL LSR4328P/PAK,0.0,2.0,140.0,5020.0,Unknown
Avermedia GS315,0.0,2.1,77.0,3520.0,Unknown
Creative Labs A550,0.0,5.1,0.0,0.0,Unknown
Rosewill SP-7260,0.0,2.0,0.0,6020.0,Unknown
Creative Labs Sound BlasterX Kratos S5,0.0,2.1,0.0,0.0,Unknown
Avermedia GS315-DM,0.0,2.1,77.0,3520.0,Unknown
Cyber Acoustics Curve Sonic,0.0,2.0,3.0,0.0,Unknown
Creative Labs T3250,0.0,2.1,0.0,0.0,Unknown
Cyber Acoustics CA-2014RB-ML,0.0,2.0,4.0,0.0,Unknown
Altec Lansing BX1520,0.0,2.0,6.0,0.0,Unknown
Altec Lansing VS3030,0.0,2.0,0.0,0.0,Unknown
Pioneer SP-BS21-LR,0.0,2.0,80.0,6520.0,Unknown
Swan Speakers M50W,0.0,2.1,114.0,3820.0,Brown / Black
M-Audio BX8 CARBON,0.0,1.0,130.0,3822.0,Black / Silver
M-Audio BX6 CARBON,0.0,1.0,100.0,4522.0,Black / Silver
M-Audio M3-8 (black),0.0,1.0,220.0,3822.0,Black
M-Audio BX5 D3 Crimson,0.0,1.0,100.0,5235.0,Black / Red
Kanto YU2Bamboo,0.0,2.0,50.0,8020.0,Brown / Black
Kanto YU2GB,0.0,2.0,50.0,8020.0,Black
Kanto YU2GT,0.0,2.0,50.0,8020.0,Blue / Black
Genius G2.1 2000,0.0,2.1,45.0,2520.0,Black / Blue
Fluance Ai60 Natural Walnut,0.0,2.0,100.0,3530.0,Black / Brown
KEF LSXBLUE,0.0,2.0,200.0,4947.0,Blue / Black
HiFiMAN X100,0.0,2.1,11.0,2020.0,Black
Vanatoo Transparent One Encore,0.0,2.0,240.0,4820.0,Black / Brown
Vanatoo Transparent One Encore,0.0,2.0,240.0,4820.0,Black
SteelSeries Arena 3 UK,0.0,2.0,0.0,5020.0,Black
SteelSeries Arena 3 SK,0.0,2.0,0.0,5020.0,Black
SteelSeries Arena 7 JP,0.0,2.1,0.0,3520.0,Black
