name,price,style,switches,backlit,tenkeyless,connection_type,color
Keychron C1 Pro V1 Hotswap,79.98,Standard,Keychron K Pro Red,RGB,TRUE,Wired,Black / Gray
Razer BlackWidow V4,169.99,Gaming,Razer Yellow,RGB,FALSE,Wired,Black
Corsair K70 RGB PRO,109.99,Gaming,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
MSI VIGOR GK71 SONIC,79.98,Gaming,MSI Sonic Red,RGB,FALSE,Wired,Black
Logitech G815 Lightsync RGB,194.49,Gaming,GL Clicky,RGB,FALSE,Wired,Black
Ducky One 2 RGB TKL,135,Standard,Cherry MX Red,Unknown,TRUE,Wired,Black
Cooler Master CK721,58.19,Gaming,TTC Brown,RGB,TRUE,"Wired, Wireless",Black / Gray
NZXT Function 2,124.12,Gaming,NZXT Swift Optical 40g,RGB,TRUE,"Wired, Wired",White
Logitech G413 Carbon,119.5,Gaming,Romer-G Tactile,Red,FALSE,Wired,Black
Logitech K270,21.33,Standard,Unknown,Unknown,FALSE,Wireless,Black
Razer BlackWidow Elite,269.99,Gaming,Razer Orange,RGB,FALSE,Wired,Black
Asus ROG Falchion Ace,109.99,Gaming,ROG NX Brown,RGB,TRUE,Wired,White
Logitech PRO X,187.58,Gaming,Logitech GX Brown Tactile,RGB,TRUE,Unknown,Black
MSI Vigor GK50 Elite,0,Gaming,Kailh Blue,RGB,TRUE,Wired,Black
Rii RK100,0,Standard,Unknown,Multicolor,FALSE,Wired,Unknown
NZXT Function MiniTKL,117.82,Gaming,Gateron Red,RGB,TRUE,Wired,Black
GAMDIAS HERMES E3,34.99,Gaming,Outemu Blue,RGB,TRUE,Wired,White
SteelSeries Apex Pro TKL,0,Gaming,SteelSeries QX2 OmniPoint,RGB,TRUE,Wired,Black
Razer Huntsman V2,109.99,Gaming,Razer Red Optical Linear,RGB,TRUE,Wired,Pink
Cooler Master SK620,29.99,Gaming,TTC Brown,RGB,TRUE,Wired,Silver / White
Logitech MX Mechanical Mini,124.99,Slim,Kailh Choc V2 Brown,White,TRUE,Wireless,Unknown
Asus ROG Strix Scope,169.99,Gaming,ROG RX Red Optical,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Asus TUF Gaming K1,59.95,Gaming,Unknown,RGB,FALSE,Wired,Black
Logitech diNovo Edge,0,Mini,Unknown,Unknown,FALSE,Bluetooth Wireless,Black / White
Redragon S113,0,Gaming,Outemu Brown,RGB,TRUE,Wired,Black
Asus TUF Gaming K7,96.67,Gaming,Optical-mech Tactile,RGB,FALSE,Wired,Black
Thermaltake Commander Bundle,49.99,Gaming,Unknown,Blue,FALSE,Wired,Black / Silver
Logitech G13,0,Gaming,Unknown,RGB,TRUE,Wired,Black
Logitech MK550,59.99,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
Razer Cynosa Chroma,109.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Cooler Master SK622,39.99,Gaming,TTC Brown Low Profile,RGB,TRUE,"Wired, Bluetooth Wireless",Black
Keychron C1 Pro V1,59.99,Standard,Keychron K Pro Brown,White,TRUE,Wired,Black / Gray
MSI VIGOR GK20,33.98,Gaming,Unknown,RGB,FALSE,Wired,Black
DROP MDX-31827-12,0,Gaming,Cherry MX Blue,RGB,TRUE,"Wired, Wired",Black
Corsair K70 RGB PRO,164.99,Gaming,Cherry MX Blue,RGB,FALSE,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Brown,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Tecware Phantom 104,50,Gaming,Outemu Blue,RGB,FALSE,Wired,Black
Logitech CRAFT,169.99,Standard,Unknown,Unknown,FALSE,Wireless,Black
Ducky ONE 3,0,Gaming,Cherry MX Silent Red RGB,RGB,FALSE,Wired,White
Razer BlackWidow V3 Pro,0,Gaming,Razer Yellow,RGB,FALSE,Wireless,Black
Asus ROG Falchion,126.99,Gaming,ROG NX Red,RGB,TRUE,"Wired, Wireless",Black
Redragon K580 VATA,0,Gaming,Outemu Blue,RGB,FALSE,Wired,Black
EagleTec KG010-N,36.99,Standard,Outemu Blue,Unknown,FALSE,Wired,Black
Cooler Master SK622,42.34,Gaming,TTC Red Low Profile,RGB,TRUE,"Wired, Bluetooth Wireless",White / Silver
ADATA XPG INFAREX K10,29.99,Gaming,Unknown,RGB,FALSE,Wired,Black
NZXT Function 2,133.38,Gaming,NZXT Swift Optical 40g,RGB,FALSE,"Wired, Wired",Black
Razer BlackWidow X Chroma Mercury Edition,0,Gaming,Razer Green,RGB,FALSE,Wired,Silver / White
Razer Tartarus Pro,129.99,Ergonomic,Razer Red Optical Linear,RGB,TRUE,Wired,Black
Razer BlackWidow V4 Pro,225.07,Gaming,Razer Yellow,RGB,FALSE,Wired,Black
Logitech MK295 Silent,29.99,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",Black
Razer BlackWidow 2019,107.88,Gaming,Razer Green,RGB,FALSE,Wired,Black
Asus M601 ROG FALCHION/RD/US,0,Gaming,Cherry MX Red,RGB,TRUE,Wireless,Black
Logitech K120,19.48,Standard,Unknown,Unknown,FALSE,Wired,Black
Logitech MK295 Silent,29.99,Standard,Unknown,Unknown,FALSE,"Wired, Wireless",White
Glorious GMMK,79.98,Gaming,Gateron Brown,RGB,TRUE,Wired,Black
Razer Huntsman V3 Pro,0,Gaming,Razer Analog Optical Switch Gen-2,RGB,FALSE,Wired,Black
Corsair K68,0,Gaming,Cherry MX Red,Red,FALSE,Wired,Black
MSI VIGOR GK50 ELITE LL,59,Gaming,Kailh Blue,RGB,FALSE,Wired,Silver / Black
Razer BlackWidow V4,136.93,Gaming,Razer Green,RGB,FALSE,Wired,Black
Asus ROG Strix Scope,99.99,Gaming,ROG RX Red Optical,RGB,FALSE,Wired,Unknown
Logitech MX KEYS S,104.37,Standard,Unknown,Unknown,FALSE,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K740,408.46,Slim,Unknown,White,FALSE,Wired,Black
Asus TUF Gaming K3,80.99,Gaming,Kailh Red,RGB,FALSE,Wired,Black
Logitech G413 SE,0,Gaming,Kailh LT Brown,White,TRUE,Wired,Black
Logitech MK470,39.99,Slim,Unknown,Unknown,FALSE,"Wired, Wireless",Black / Gray
Kinesis Gaming Freestyle Edge,199,Ergonomic Split,Cherry MX Brown,RGB,TRUE,Wired,Black
Akko 5087S Shine-Through,0,Standard,Akko CS Jelly Pink Linear,RGB,TRUE,Wired,White
Logitech K845,59.99,Standard,TTC Brown,White,FALSE,Wired,Black
Logitech K350,39.99,Ergonomic,Unknown,Unknown,FALSE,Wireless,Black
Logitech MX Keys,109.99,Slim,Unknown,Unknown,FALSE,"Wired, Wired, Wireless, Bluetooth Wireless",Black
ADATA XPG SUMMONER,39.99,Gaming,Cherry MX Speed Silver,RGB,FALSE,Unknown,Black
Corsair K60 RGB Pro,99.89,Gaming,Cherry MX Low Profile Speed Silver,RGB,FALSE,Wired,Black
Keychron C1 Pro V1,69.98,Standard,Keychron K Pro Red,RGB,TRUE,Wired,Black / Gray
Asus ROG Strix Scope II 96,139.99,Gaming,ROG NX Storm,RGB,FALSE,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K63 Lapboard Combo (MX Red w/Blue LED),380,Gaming,Cherry MX Red,Blue,TRUE,Wireless,Unknown
Corsair K70 RGB MK.2,0,Gaming,Cherry MX Speed Silver,RGB,FALSE,Wired,Black
Glorious GMMK,0,Gaming,Gateron Brown,RGB,FALSE,Wired,Black
SteelSeries Apex 7,123.62,Gaming,SteelSeries QX2 Blue,RGB,FALSE,Wired,Black
Keychron Q1 Pro,0,Standard,Keychron K Pro Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",White
Razer Ornata V2,0,Gaming,Unknown,RGB,FALSE,Wired,Black
Corsair K95 RGB PLATINUM XT,199.99,Gaming,Cherry MX Brown,RGB,FALSE,Wired,Black
HP HyperX Alloy Origins,102.99,Gaming,HyperX Aqua,RGB,FALSE,Wired,Black
