name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech G502 SE HERO,59.96,Optical,Wired,25600.0,Right,Black / Silver
Logitech G102 LIGHTSYNC RGB,28.76,Optical,Wired,8000.0,Right,White
SteelSeries Prime,19.95,Optical,Wired,18000.0,Right,Black
Corsair IRONCLAW RGB FPS/MOBA,55.63,Optical,Wired,18000.0,Right,Black
HP HyperX Pulsefire FPS Pro,39.99,Optical,Wired,16000.0,Right,Black
Cooler Master MM710 Glossy Black,22.99,Optical,Wired,16000.0,Right,Black
Microsoft U7Z-00031,7.49,Optical,Wireless,0.0,Both,Red
Logitech MX MASTER 3,39.99,Laser,"Wired, Wired, Wireless, Bluetooth Wireless",4000.0,Right,Black
Corsair SCIMITAR PRO RGB,59.99,Optical,Wired,16000.0,Right,Black
Logitech M705,29.99,Laser,Wireless,0.0,Right,Black
Corsair DARK CORE RGB,0.0,Optical,Wireless,16000.0,Right,Black
Asus ROG Gladius III AimPoint,88.12,Optical,"Wired, Wireless, Bluetooth Wireless",36000.0,Right,White
Pulsar X2V2,0.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Razer Naga X,79.98,Optical,Wired,18000.0,Right,Black
Razer Basilisk V2,0.0,Optical,Wired,20000.0,Right,Black
ROCCAT Kone XP Air,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000.0,Right,Black
Lamzu Atlantis OG,0.0,Optical,"Wired, Wireless",26000.0,Right,White / Blue
Razer Viper,52.97,Optical,Wired,16000.0,Both,Black / Green
Razer DeathAdder V2 Mini,49.0,Optical,Wired,8500.0,Right,Black
Logitech G203 Prodigy,43.98,Optical,Wired,6000.0,Right,Black
HP QY777AA,9.69,Optical,Wired,800.0,Both,Black
Logitech G703 (Black),59.99,Optical,Wireless,12000.0,Right,Black
EVGA X12,19.61,Optical,Wired,16000.0,Both,White / Gray
NZXT Lift 2 Ergo,49.99,Optical,Wired,26000.0,Right,Black
Logitech M510,22.42,Laser,Wireless,1000.0,Right,Black
Glorious Model O-,49.99,Optical,Wired,12000.0,Right,Black
Keychron M3 Mini,49.0,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000.0,Right,Black
FinalMouse Ultralight Pro,0.0,Optical,Wired,3200.0,Right,Black
Patriot Viper 551,14.99,Optical,Wired,10000.0,Both,Black
HP HyperX Pulsefire Surge,48.46,Optical,Wired,16000.0,Right,Black
Microsoft MHC-00001,150.0,Optical,Wireless,0.0,Both,Black
Asus ROG Gladius II Origin,145.26,Optical,Wired,12000.0,Right,Black
Razer Viper,49.95,Optical,Wired,16000.0,Both,Pink / Gray
Redragon Mammoth,29.99,Laser,Wired,16400.0,Right,Black / Red
Logitech MX Master,0.0,Optical,Wireless,1600.0,Right,Black / Copper
Anker AK-98ANWVM-UBA,25.99,Optical,Wireless,1600.0,Right,Black
Keychron M3,54.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Asus TUF Gaming M4 Wireless,59.99,Optical,Wireless,0.0,Right,Black
Glorious Model O-,49.99,Optical,Wired,12000.0,Right,White
HP HyperX Pulsefire Haste,69.98,Optical,Wireless,16000.0,Right,White
Razer Lancehead Tournament Edition,74.0,Optical,Wired,16000.0,Both,Pink
Logitech MX Master 3,169.95,Laser,Wireless,4000.0,Right,Silver
Mad Catz ‎R.A.T Pro X3 Supreme Limited Edition,0.0,Optical,Wired,16000.0,Right,Black / Gold
Cooler Master MM730,49.99,Optical,Wired,16000.0,Right,Black
MSI CLUTCH GM51,69.0,Optical,"Wired, Wireless",26000.0,Right,Black
Corsair M55 RGB Pro,49.98,Optical,Wired,12400.0,Both,Black
Dell MS116,7.94,Optical,Wired,1000.0,Both,Black
Razer Basilisk V3 Pro + Wireless Charging Puck,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000.0,Right,Black
Cooler Master MM712,57.45,Optical,"Wired, Wireless, Bluetooth Wireless",19000.0,Right,Black
Corsair M65 RGB ULTRA WIRELESS,109.99,Optical,Wireless,26000.0,Right,Unknown
Logitech G403 Prodigy,60.63,Optical,Wired,12000.0,Right,Black
HP 265A9AA,10.99,Optical,Wired,1200.0,Both,Black
HP HyperX Pulsefire Haste 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Logitech G203 Lightsync,24.11,Optical,Wired,8000.0,Right,Purple
Corsair M75 AIR,80.86,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Razer Naga V2 HyperSpeed,99.0,Optical,"Wireless, Bluetooth Wireless",30000.0,Right,Black
ROCCAT Burst Pro,23.96,Optical,Wired,16000.0,Right,Black
Logitech ERGO M575,49.21,Optical,"Wired, Wireless, Bluetooth Wireless",2000.0,Right,Gray / Blue
Logitech M185,12.99,Laser,Wireless,0.0,Both,Black
Rude Gamewear Fierce,23.99,Laser,Wired,5000.0,Both,Black
Corsair GLAIVE RGB Aluminum,0.0,Optical,Wired,16000.0,Right,Black
Cooler Master MM311,39.99,Optical,"Wired, Wireless",10000.0,Right,Black
Logitech G900 CHAOS SPECTRUM,81.12,Optical,Wireless,12000.0,Both,Black
Logitech G PRO Hero,109.99,Optical,Wired,25600.0,Right,Black
SteelSeries Aerox 3 (2022),57.99,Optical,Wired,8500.0,Right,White
Razer DeathAdder Chroma,60.0,Optical,Wired,10000.0,Right,Black
Razer DeathAdder 2013,49.99,Optical,Wired,6400.0,Right,Black
Logitech G300S,59.63,Optical,Wired,2500.0,Both,Black / Blue
Razer Mamba Tournament Edition,79.9,Laser,Wired,16000.0,Right,Black
Cooler Master MM730,19.98,Optical,Wired,16000.0,Right,White / Gray
Cooler Master MM731,84.3,Optical,Wireless,19000.0,Right,Black
Corsair KATAR ELITE,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Asus P704 ROG CHAKRAM,0.0,Optical,Wireless,16000.0,Right,Black
SteelSeries Rival 310,55.0,Optical,Wired,12000.0,Right,Black
Glorious Model O 2,64.99,Optical,Wired,26000.0,Right,Black
Logitech LIFT,66.99,Optical,"Wireless, Bluetooth Wireless",4000.0,Right,Black
UtechSmart Venus,32.99,Laser,Wired,16400.0,Right,Black
Kensington K72356US,7.99,Optical,Wired,0.0,Both,Black
HP HyperX Pulsefire Raid,30.49,Optical,Wired,16000.0,Right,Black
ROCCAT Kone AIMO Remastered,60.98,Optical,Wired,16000.0,Right,White
ROCCAT KONE Pro,25.99,Optical,Wired,19000.0,Right,White
MSI Clutch GM51 Lightweight,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Logitech G305 LIGHTSPEED,59.99,Optical,"Wired, Wireless",12000.0,Right,White / Black
Anker AK-98ANWVM-BA,22.99,Optical,Wired,1000.0,Right,Black
ROCCAT KONE Pro Air,63.75,Optical,Wireless,19000.0,Right,Black
Gigabyte AORUS M5,39.0,Optical,Wired,16000.0,Right,Black
NZXT Lift,54.29,Optical,Wired,16000.0,Right,Black
TeckNet M268-Black,0.0,Optical,Wired,3000.0,Right,Black
Asus ROG Strix Impact II,59.9,Optical,Wired,6200.0,Right,Black
V7 M30P10-7N,10.49,Optical,Wired,1000.0,Both,Black
Targus AMU80US,6.96,Optical,Wired,0.0,Unknown,Black
Logitech G305 LIGHTSPEED,45.0,Optical,"Wired, Wireless",12000.0,Right,Blue / Green
Kensington Orbit,37.03,Trackball,Wired,0.0,Both,Black
ADATA XPG PRIMER,22.52,Optical,Wired,12000.0,Right,Black
Glorious Model D-,49.99,Optical,Wired,12000.0,Right,Black
Razer Lancehead,150.44,Laser,Wireless,16000.0,Both,Black / Green
SteelSeries Prime Wireless,55.0,Optical,Wireless,18000.0,Right,Black
