name,price,type,efficiency,wattage,modular,color
PowerSpec PS 650GSM,76.98,ATX,gold,650,Semi,Black
Thermaltake Toughpower GF3 TT Premium,189.99,ATX,gold,1350,Full,Black
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
Silverstone HELA 1200R,235.1,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 1000 G5,171.46,ATX,gold,1000,Full,Black / Green
Cooler Master MWE Gold V2 ATX3.0,159.99,ATX,gold,1250,Full,Black
be quiet! Straight Power 12,139.9,ATX,platinum,750,Full,Black
be quiet! Pure Power 11,0.0,ATX,bronze,300,false,Black
Aerocool LUX RGB 750M (230V EU),100.42,ATX,bronze,750,Semi,Black
be quiet! Straight Power 11 750W,260.0,ATX,gold,750,Full,Unknown
EVGA 850 GQ,0.0,ATX,gold,850,Semi,Unknown
Montech CENTURY G5,0.0,ATX,gold,750,Full,Black
Asus ROG Strix Aura Edition,0.0,ATX,gold,1000,Full,White
Fractal Design Ion Gold,128.29,ATX,gold,550,Full,Black
ADATA XPG PYLON,0.0,ATX,bronze,750,false,Black
Super Flower Leadex Titanium,299.99,ATX,titanium,1600,Full,Black
KOLINK ENCLAVE,0.0,ATX,gold,500,Full,Black
EVGA SuperNOVA 650 G3,172.49,ATX,gold,650,Full,Unknown
Corsair HX1500i (2022),367.0,ATX,platinum,1500,Full,Black
Thermaltake TR2 S,94.82,ATX,plus,700,false,Black
Deepcool PX1200G,149.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 650 G5,104.99,ATX,gold,650,Full,Black / Green
Corsair VS550 (2018),0.0,ATX,plus,550,false,Unknown
Asus TUF Gaming B,45.99,ATX,bronze,550,false,Black
Asus ROG THOR P2 Gaming EVA Edition,511.83,ATX,platinum,1000,Full,Black / Silver
Cooler Master G600,0.0,ATX,gold,600,false,Black
Corsair CX600,0.0,ATX,bronze,600,false,Unknown
KOLINK Core,0.0,ATX,plus,600,false,Black
EVGA 750 BQ,149.88,ATX,bronze,750,Semi,Unknown
GameMax RGB Rainbow,99.99,ATX,gold,750,Full,Black
Corsair AX1500i,649.0,ATX,titanium,1500,Full,Unknown
be quiet! System Power 9 CM,158.8,ATX,bronze,400,Semi,Black
